primer_name	index	Zotu	count	tot
926R_inline1	IT001	Zotu1	35	95
926R_inline1	IT001	Zotu2	5	95
926R_inline1	IT001	Zotu3	55	95
926R_inline1	IT002	Zotu1	1583	2049
926R_inline1	IT002	Zotu2	344	2049
926R_inline1	IT002	Zotu3	12	2049
926R_inline1	IT002	Zotu5	45	2049
926R_inline1	IT002	Zotu6	25	2049
926R_inline1	IT002	Zotu7	4	2049
926R_inline1	IT002	Zotu10	5	2049
926R_inline1	IT002	Zotu11	19	2049
926R_inline1	IT002	Zotu12	8	2049
926R_inline1	IT002	Zotu13	4	2049
926R_inline1	IT003	Zotu1	1311	1655
926R_inline1	IT003	Zotu2	165	1655
926R_inline1	IT003	Zotu3	87	1655
926R_inline1	IT003	Zotu5	35	1655
926R_inline1	IT003	Zotu6	22	1655
926R_inline1	IT003	Zotu7	4	1655
926R_inline1	IT003	Zotu8	9	1655
926R_inline1	IT003	Zotu11	18	1655
926R_inline1	IT003	Zotu17	4	1655
926R_inline1	IT004	Zotu1	1561	2095
926R_inline1	IT004	Zotu2	207	2095
926R_inline1	IT004	Zotu3	195	2095
926R_inline1	IT004	Zotu4	13	2095
926R_inline1	IT004	Zotu5	34	2095
926R_inline1	IT004	Zotu7	7	2095
926R_inline1	IT004	Zotu8	19	2095
926R_inline1	IT004	Zotu9	14	2095
926R_inline1	IT004	Zotu11	15	2095
926R_inline1	IT004	Zotu14	15	2095
926R_inline1	IT004	Zotu23	15	2095
926R_inline1	IT005	Zotu1	1322	1476
926R_inline1	IT005	Zotu2	37	1476
926R_inline1	IT005	Zotu3	77	1476
926R_inline1	IT005	Zotu6	4	1476
926R_inline1	IT005	Zotu8	9	1476
926R_inline1	IT005	Zotu11	15	1476
926R_inline1	IT005	Zotu14	8	1476
926R_inline1	IT005	Zotu23	4	1476
926R_inline1	IT006	Zotu1	1134	1401
926R_inline1	IT006	Zotu2	156	1401
926R_inline1	IT006	Zotu3	91	1401
926R_inline1	IT006	Zotu5	20	1401
926R_inline1	IT007	Zotu1	537	1997
926R_inline1	IT007	Zotu2	988	1997
926R_inline1	IT007	Zotu3	302	1997
926R_inline1	IT007	Zotu10	16	1997
926R_inline1	IT007	Zotu11	148	1997
926R_inline1	IT007	Zotu12	6	1997
926R_inline1	IT008	Zotu1	1554	2088
926R_inline1	IT008	Zotu2	247	2088
926R_inline1	IT008	Zotu3	150	2088
926R_inline1	IT008	Zotu5	50	2088
926R_inline1	IT008	Zotu6	19	2088
926R_inline1	IT008	Zotu7	5	2088
926R_inline1	IT008	Zotu8	19	2088
926R_inline1	IT008	Zotu10	6	2088
926R_inline1	IT008	Zotu11	24	2088
926R_inline1	IT008	Zotu12	4	2088
926R_inline1	IT008	Zotu14	10	2088
926R_inline1	IT009	Zotu1	1247	1526
926R_inline1	IT009	Zotu2	149	1526
926R_inline1	IT009	Zotu3	71	1526
926R_inline1	IT009	Zotu5	22	1526
926R_inline1	IT009	Zotu8	6	1526
926R_inline1	IT009	Zotu11	18	1526
926R_inline1	IT009	Zotu14	6	1526
