primer_name	index	Zotu	count	tot
926R_inline22	IT001	Zotu1	199	476
926R_inline22	IT001	Zotu2	141	476
926R_inline22	IT001	Zotu3	88	476
926R_inline22	IT001	Zotu4	19	476
926R_inline22	IT001	Zotu5	10	476
926R_inline22	IT001	Zotu6	7	476
926R_inline22	IT001	Zotu7	6	476
926R_inline22	IT001	Zotu8	6	476
926R_inline22	IT002	Zotu1	5257	6842
926R_inline22	IT002	Zotu2	733	6842
926R_inline22	IT002	Zotu3	135	6842
926R_inline22	IT002	Zotu4	35	6842
926R_inline22	IT002	Zotu5	5	6842
926R_inline22	IT002	Zotu7	9	6842
926R_inline22	IT002	Zotu8	26	6842
926R_inline22	IT002	Zotu9	4	6842
926R_inline22	IT002	Zotu10	37	6842
926R_inline22	IT002	Zotu12	6	6842
926R_inline22	IT002	Zotu13	9	6842
926R_inline22	IT002	Zotu14	156	6842
926R_inline22	IT002	Zotu15	128	6842
926R_inline22	IT002	Zotu16	109	6842
926R_inline22	IT002	Zotu17	62	6842
926R_inline22	IT002	Zotu18	29	6842
926R_inline22	IT002	Zotu19	17	6842
926R_inline22	IT002	Zotu20	15	6842
926R_inline22	IT002	Zotu21	11	6842
926R_inline22	IT002	Zotu22	10	6842
926R_inline22	IT002	Zotu23	10	6842
926R_inline22	IT002	Zotu24	8	6842
926R_inline22	IT002	Zotu25	6	6842
926R_inline22	IT002	Zotu26	5	6842
926R_inline22	IT002	Zotu27	4	6842
926R_inline22	IT002	Zotu28	4	6842
926R_inline22	IT002	Zotu29	4	6842
926R_inline22	IT002	Zotu30	4	6842
926R_inline22	IT002	Zotu31	4	6842
926R_inline22	IT003	Zotu1	5264	6800
926R_inline22	IT003	Zotu2	634	6800
926R_inline22	IT003	Zotu3	174	6800
926R_inline22	IT003	Zotu4	51	6800
926R_inline22	IT003	Zotu5	5	6800
926R_inline22	IT003	Zotu7	15	6800
926R_inline22	IT003	Zotu8	36	6800
926R_inline22	IT003	Zotu9	6	6800
926R_inline22	IT003	Zotu10	32	6800
926R_inline22	IT003	Zotu11	6	6800
926R_inline22	IT003	Zotu12	5	6800
926R_inline22	IT003	Zotu13	8	6800
926R_inline22	IT003	Zotu14	163	6800
926R_inline22	IT003	Zotu15	95	6800
926R_inline22	IT003	Zotu16	76	6800
926R_inline22	IT003	Zotu17	62	6800
926R_inline22	IT003	Zotu18	16	6800
926R_inline22	IT003	Zotu19	20	6800
926R_inline22	IT003	Zotu20	36	6800
926R_inline22	IT003	Zotu21	12	6800
926R_inline22	IT003	Zotu23	5	6800
926R_inline22	IT003	Zotu24	8	6800
926R_inline22	IT003	Zotu25	12	6800
926R_inline22	IT003	Zotu33	42	6800
926R_inline22	IT003	Zotu36	4	6800
926R_inline22	IT003	Zotu43	5	6800
926R_inline22	IT003	Zotu44	4	6800
926R_inline22	IT003	Zotu45	4	6800
926R_inline22	IT004	Zotu1	6839	9080
926R_inline22	IT004	Zotu2	950	9080
926R_inline22	IT004	Zotu3	263	9080
926R_inline22	IT004	Zotu4	75	9080
926R_inline22	IT004	Zotu5	14	9080
926R_inline22	IT004	Zotu7	24	9080
926R_inline22	IT004	Zotu8	70	9080
926R_inline22	IT004	Zotu9	9	9080
926R_inline22	IT004	Zotu10	46	9080
926R_inline22	IT004	Zotu11	11	9080
926R_inline22	IT004	Zotu12	6	9080
926R_inline22	IT004	Zotu13	13	9080
926R_inline22	IT004	Zotu14	196	9080
926R_inline22	IT004	Zotu15	200	9080
926R_inline22	IT004	Zotu16	115	9080
926R_inline22	IT004	Zotu17	66	9080
926R_inline22	IT004	Zotu18	20	9080
926R_inline22	IT004	Zotu19	34	9080
926R_inline22	IT004	Zotu20	50	9080
926R_inline22	IT004	Zotu21	18	9080
926R_inline22	IT004	Zotu23	10	9080
926R_inline22	IT004	Zotu24	10	9080
926R_inline22	IT004	Zotu25	10	9080
926R_inline22	IT004	Zotu29	5	9080
926R_inline22	IT004	Zotu36	6	9080
926R_inline22	IT004	Zotu38	6	9080
926R_inline22	IT004	Zotu43	6	9080
926R_inline22	IT004	Zotu45	4	9080
926R_inline22	IT004	Zotu51	4	9080
926R_inline22	IT005	Zotu1	6674	8782
926R_inline22	IT005	Zotu2	987	8782
926R_inline22	IT005	Zotu3	219	8782
926R_inline22	IT005	Zotu4	59	8782
926R_inline22	IT005	Zotu5	13	8782
926R_inline22	IT005	Zotu7	21	8782
