primer_name     index   Zotu    count   tot
926R_inline8    IT052   Zotu13  14      200
926R_inline8    IT053   Zotu2   4       4
926R_inline8    IT058   Zotu2   15      15
926R_inline8    IT059   Zotu2   9       20
926R_inline8    IT059   Zotu6   4       20
926R_inline8    IT059   Zotu13  7       20
926R_inline8    IT060   Zotu2   14      21
926R_inline8    IT060   Zotu13  7       21
926R_inline8    IT061   Zotu1   240     240
926R_inline8    IT062   Zotu1   334     340
926R_inline8    IT062   Zotu2   6       340
926R_inline8    IT063   Zotu1   192     192
926R_inline8    IT064   Zotu1   124     144
926R_inline8    IT064   Zotu2   20      144
926R_inline8    IT065   Zotu1   73      81
926R_inline8    IT065   Zotu2   8       81
926R_inline8    IT066   Zotu1   148     179
926R_inline8    IT066   Zotu2   27      179
926R_inline8    IT066   Zotu13  4       179
926R_inline8    IT073   Zotu1   193     193
926R_inline8    IT074   Zotu1   148     148
926R_inline8    IT075   Zotu1   94      99
926R_inline8    IT075   Zotu2   5       99
926R_inline8    IT076   Zotu1   123     147
926R_inline8    IT076   Zotu2   24      147
926R_inline8    IT077   Zotu1   56      64
926R_inline8    IT077   Zotu2   8       64
926R_inline8    IT078   Zotu1   139     159
926R_inline8    IT078   Zotu2   20      159
926R_inline8    IT079   Zotu1   4       4
926R_inline8    IT082   Zotu1   216     216
926R_inline8    IT083   Zotu1   158     158
926R_inline8    IT084   Zotu1   229     229
926R_inline8    IT085   Zotu1   365     548
926R_inline8    IT085   Zotu2   162     548
926R_inline8    IT085   Zotu6   21      548
926R_inline8    IT086   Zotu1   219     325
926R_inline8    IT086   Zotu2   95      325
926R_inline8    IT086   Zotu6   11      325
926R_inline8    IT087   Zotu1   81      101
926R_inline8    IT087   Zotu2   20      101
926R_inline8    IT088   Zotu1   413     413
926R_inline8    IT089   Zotu1   396     396
926R_inline8    IT090   Zotu1   374     374
926R_inline8    IT091   Zotu1   133     140
926R_inline8    IT091   Zotu2   7       140
926R_inline8    IT092   Zotu1   281     312
926R_inline8    IT092   Zotu2   27      312
926R_inline8    IT092   Zotu5   4       312
926R_inline8    IT093   Zotu1   153     163
926R_inline8    IT093   Zotu2   10      163
926R_inline8    IT094   Zotu1   99      120
926R_inline8    IT094   Zotu2   21      120
926R_inline8    IT095   Zotu1   58      83
926R_inline8    IT095   Zotu2   25      83
926R_inline8    IT096   Zotu1   316     423
926R_inline8    IT096   Zotu2   107     423
